"uriAudiencia","codigoAudiencia","observaciones","descripcion","materia","anio","trimestre"
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0052091","nr0052091","Proyecto de Fortalecimiento del Ministerio Público.","Oficina Del Senador En El Congreso Nacional","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0052181","nr0052181","Escuchar la visión sobre Codelco en general.","Huerfanos 1270, Piso 11","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0052291","nr0052291","Propuestas personales para ayudar a las personas de la 3a. edad","Senado - Piso 9","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0052451","nr0052451","Proyecto de ley única de donaciones (boletín n° 9266 -05)","Oficina Senador Ex Congreso Santiago","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0052581","nr0052581","El motivo de la reunión, es poder exponer en detalle y de primera fuente, tanto la problemática existente en las fiscalías del país, como el parecer de los fiscales sobre las indicaciones sustitutivas que se incluyeron al llamado Proyecto de Ley de Fortalecimiento al Ministerio Público, que ingresaron para ser tratados en la comisión de Constitución, Legislación y Justicia del Senado..","Congreso Nacional","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0052591","nr0052591","temas Comuna de Dichato","Junta De Vecinos Dichato","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0052601","nr0052601","Senador solicita tener un conocimiento más acabado de la cooperativa.","Alameda 194, Piso 6","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0052621","nr0052621","Lunes 02 de marzo a las 10:30 horas. Senado Santiago","Senado Santiago","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0052641","nr0052641","Lunes 16 de marzo a las 11:00 horas. Tribunal Ambiental","Senado","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0052661","nr0052661","Proyecto Fotovoltaico Región de Antofagasta - Ministerio de Bienes Nacionales","Alameda 720","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0052681","nr0052681","Proyecto Fotovoltaico Región de Antofagasta-Ministerio de Medio Ambiente","San Martín 73, Piso 9","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0052741","nr0052741","plantea reforma a la ley de transito en su art. 40, respecto de la clasificación de taxis colectivos","Oficina Senador Congreso Valparaiso","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0052721","nr0052721","MAR PARA VALPARAÍSO","Comite Independiente Mas, Piso 2 Senado","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0052801","nr0052801","Proyecto que modifica ley n° 19.995 para establecer medidas respecto de los ludopatas.","Oficina Senador Congreso Valparaiso","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0051051","nr0051051","PRESENTACIÓN NUEVO PROYECTO CENTRAL HIDRO ELECTRICA FRONTERA. Lunes 12 de enero de 2015 a las 13:00 horas","Senado","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0051481","nr0051481","BOLETIN 9715 - 05, RENUEVA APLICACION DEL MECANISMO DE REINTEGRO PARCIAL DEL IMPUESTO ESPECIFICO AL PETROLEO DIESEL PARA LAS EMPRESAS DE TRANSPORTE DE CARGA Y OTORGA BENEFICIO TRIBUTARIO QUE INDICA. SEÑALAN LA NECESIDAD DE QUE SE HAGA UN ESTUDIO QUE OBLIGUE FINALMENTE QUE TODOS LOS CONSUMIDORES PAGUEN EL IMPUESTO.","Oficina Senador Jose Garcia Ruminot, Ex Congreso Nacional, Santiago.","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0052001","nr0052001","Situación pesquera de los recursos Bacalao, Albacora, Reineta y otros demersales.","Sede Parlamentaria Concepción","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0052041","nr0052041","Lunes 12 de enero a las 08:30 horas. Seguridad y comercio ilegal, deuda consolidada, Sernac, datos personales y reforma laboral","Cámara De Comercio","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0052311","nr0052311","Reforma Educacional y la visión del Instituto Nacional de Chile","Congreso Stgo","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0052381","nr0052381","Informar detalles sobre los términos del acuerdo firmado recientemente, en el marco del convenio de administración del lago Laja.","Oficina Senador","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0052401","nr0052401","Presentación de programa de educación cívica con tecnología.","Oficina Senado","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0052411","nr0052411","proyecto de ley prohibición uso de bolsas plásticas en la Patagonia","Senado En Valparaiso","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0052431","nr0052431","La presidenta de la agrupación de tecnologos médicos Sra. Verónica Rosales planteo dos puntos de preocupación para esta agrupación :1) El problema de la exclusión de los tecnólogos en los ZAR (en la atención primaria que es un proyecto del gobierno en desarrollo), solicito nuestra intervención y en particular en la Comisión de Salud del Senado.2)Respecto de las carreras de exclusividad Universitaria, pide revisar nuestro criterio al respecto.","Oficina Udi","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0052791","nr0052791","Modificación ley 19.995","Oficina Parlamentaria","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr005911","nr005911","PLAN MAESTRO PUERTO DE VALPARAISO","Senado En Valparaiso","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr005971","nr005971","15 de enero de 2015 a las 09:30 horas.","Senado","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ar0011533711","ar0011533711","Solicitamos audiencia con el Sr. Ministro de Agricultura a objeto de abordar las siguientes materias: sequía en la zona sur y participación del secretario de Estado en el Congreso Panamericano de la Leche (Puerto Varas 2016), organizado por Fedeleche y Fepale. Rogamos ver factibilidad de poder agendar audiencia para el día lunes 16 de marzo.","Teatinos 40, 9° piso","Diseño, implementación y evaluación de políticas, planes y programas efectuados por los sujetos pasivos. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/ar0011533731","ar0011533731","- Indap, falta de informacion para la postulacion a concursos de indap. Mal funcionamiento del programa prodesal en el area San Carlos. - Befecios ley de riego. Bono legal de aguas y accesibilidad a proyectos de riego para pequeños y medianos propietarios. - Sequia que afecta a laprovincia de ñuble, conocer las medidas de mitigacion a corto plazo.","Teatinos 40, 9° piso","Diseño, implementación y evaluación de políticas, planes y programas efectuados por los sujetos pasivos. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/av0012278201","av0012278201","propuesta de colaboración entre ambas instituciones","Ahumada 11, piso 9","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/mu2881762971","mu2881762971","APOYO PARA CARRERA INTERNACIONAL PATAGONIA EXPEDITION RACE","DEPENDENCIAS MUNICIPALIDAD DE SAN GREGORIO DIRECCIONO´HIGGINS 50","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0051431","nr0051431","BOLETIN 9791-05, RENUEVA APLICACION DEL MECANISMO DE REINTEGRO PARCIAL DEL  IMPUESTO ESPECIFICO AL PETROLEO DIESEL PARA LAS EMPRESAS DE TRANSPORTE DE CARGA Y OTORGA BENEFICIO TRIBUTARIO QUE INDICA. SEÑALAN LA NECESIDAD DE QUE SE HAGA UN ESTUDIO QUE OBLIGUE FINALMENTE QUE TODOS LOS CONSUMIDORES PAGUEN EL IMPUESTO.","Oficina Senador Jose Garcia Ruminot, Ex Congreso Nacional Santiago","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0051951","nr0051951","Indicaciones relativas a la selección del boletín 9366-04","Ex Congreo","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0052301","nr0052301","dar a conocer la Institución y sus actividades","Suecia 1428","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0052351","nr0052351","La dirigente de Anfumip Sra. Carola Díaz presento las inquietudes de su gremio con respecto al proyecto de Ley de Fortalecimiento del Ministerio Público, comentando la preocupación de las indicaciones sustitutivas presentadas por el ejecutivo y solicitando que el proyecto pueda ser despachado a la brevedad.","Oficina De La Udi","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0052501","nr0052501","Informar detalles sobre los términos del acuerdo firmado recientemente, en el marco del convenio de administración del lago Laja.","Senado De La República","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr006ar6981","nr006ar6981","Proyecto Modificación Código de Aguas ","Santiago, Región Metropolitana de Santiago","Ninguna de las anteriores. - ",2015,1
