Año;Trimestre;codigoDonativo;descripcion;pasivo;codigoPasivo;organismo;IdOrPortal;cargo;fechaDonativo;ocasion;;;
2018;4;ab051293273;40 entradas;Robert Contreras Reyes;AB051174540;GOBERNACIÓN PROVINCIAL DE CONCEPCIÓN;ab051;Gobernador(a);12-10-2018;Partido A.F. Vial vs REcoleta;;;
2018;4;ab051294063;50 entradas;Robert Contreras Reyes;AB051174540;GOBERNACIÓN PROVINCIAL DE CONCEPCIÓN;ab051;Gobernador(a);17-10-2018;Partido D.Concepción vs Pilmahue;;;
2018;4;ab051295413;50 entradas;Robert Contreras Reyes;AB051174540;GOBERNACIÓN PROVINCIAL DE CONCEPCIÓN;ab051;Gobernador(a);25-10-2018;Partido D.Concepción vs Cabrero;;;
2018;4;ab051295593;25 entradas;Robert Contreras Reyes;AB051174540;GOBERNACIÓN PROVINCIAL DE CONCEPCIÓN;ab051;Gobernador(a);25-10-2018;Partido Huachipato vs O´Higgins;;;
2018;4;ab051295603;72 entradas;Robert Contreras Reyes;AB051174540;GOBERNACIÓN PROVINCIAL DE CONCEPCIÓN;ab051;Gobernador(a);25-10-2018;Partido Universidad de Concepción vs Unión Española;;;
2018;4;ab051295903;8 entradas;Robert Contreras Reyes;AB051174540;GOBERNACIÓN PROVINCIAL DE CONCEPCIÓN;ab051;Gobernador(a);29-10-2018;Concierto Noel Gallagher;;;
2018;4;ab051296663;40 entradas;Robert Contreras Reyes;AB051174540;GOBERNACIÓN PROVINCIAL DE CONCEPCIÓN;ab051;Gobernador(a);31-10-2018;Partido A.F. Vial vs Vallenar;;;
2018;4;ab051304543;40 entradas;Robert Contreras Reyes;AB051174540;GOBERNACIÓN PROVINCIAL DE CONCEPCIÓN;ab051;Gobernador(a);06-12-2018;Partido A.F.Vial vs Deñoertes Malleco;;;
2018;4;ab051297793;50 entradas de cortesía;Robert Contreras Reyes;AB051174540;GOBERNACIÓN PROVINCIAL DE CONCEPCIÓN;ab051;Gobernador(a);05-11-2018;Partido Deportes Concepción vs Rodelindo Remán;;;
2018;4;ab051300423;i libro;Robert Contreras Reyes;AB051174540;GOBERNACIÓN PROVINCIAL DE CONCEPCIÓN;ab051;Gobernador(a);12-11-2018;Actividad con el Embajador de Mexico;;;
2018;4;ab051300433;Replica de vidrio en miniatura del Monitor Huascar;Robert Contreras Reyes;AB051174540;GOBERNACIÓN PROVINCIAL DE CONCEPCIÓN;ab051;Gobernador(a);20-11-2018;Despedida del Cdta. en Jefe II Zona Naval;;;
2018;4;ab051300733;40 entradas;Robert Contreras Reyes;AB051174540;GOBERNACIÓN PROVINCIAL DE CONCEPCIÓN;ab051;Gobernador(a);21-11-2018;Partido Deports San antonio Unido vs A. Fernandez Vial;;;
2018;4;ab051300793;10 entradas;Robert Contreras Reyes;AB051174540;GOBERNACIÓN PROVINCIAL DE CONCEPCIÓN;ab051;Gobernador(a);22-11-2018;"""PARQUE SALVAJE"" DE LA CIA. INTERNATIONAL ENTERTAIMENT GROUP LTDA.";;;
2018;4;ab051300893;30 entradas;Robert Contreras Reyes;AB051174540;GOBERNACIÓN PROVINCIAL DE CONCEPCIÓN;ab051;Gobernador(a);22-11-2018;Partido Huachipato vs Colo Colo;;;
2018;4;ab051300903;72 entradas;Robert Contreras Reyes;AB051174540;GOBERNACIÓN PROVINCIAL DE CONCEPCIÓN;ab051;Gobernador(a);22-11-2018;Partido U. de Concepcion vs Sa Luis;;;
2018;4;ab051301863;65 entradas;Robert Contreras Reyes;AB051174540;GOBERNACIÓN PROVINCIAL DE CONCEPCIÓN;ab051;Gobernador(a);28-11-2018;Pazrtido Dpoertes Concepción vs Ferroviarios;;;
2018;4;ab067299863;LIBRO;Margarita Edith Del Carmen Norambuena Caviedes;AB067173991;GOBERNACIÓN PROVINCIAL DE TIERRA DEL FUEGO;ab067;Gobernador(a);14-11-2018;PUBLICACIÓN DE LIBRO;;;
2018;4;ab068300773;REVISTA;Juan José Arcos Srdrovic;AB068176311;GOBERNACIÓN PROVINCIAL DE LA ANTÁRTICA CHILENA;ab068;Gobernador(a);19-11-2018;EJEMPLAR, REVISTA NUESTRA TIERRA;;;
2018;4;ab068300783;LIBRO;Juan José Arcos Srdrovic;AB068176311;GOBERNACIÓN PROVINCIAL DE LA ANTÁRTICA CHILENA;ab068;Gobernador(a);19-11-2018;EJEMPLAR, PREMIOS MEJORES OBRAS LITERARIAS;;;
