Camino;Código del organismo;Nombre del organismo;Año Informado;Trimestre Informado;Item;Unidad Monetaria;Monto
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros Año 2020/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2020;Abr - Jun;Frutos y productos de los Bienes Patrimoniales;Pesos;68133700
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros Año 2020/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2020;Abr - Jun;Otras Transferencias privadas;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros Año 2020/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2020;Abr - Jun;Otras Transferencias públicas;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros Año 2020/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2020;Ene - Mar;Cotizaciones;Pesos;27858170
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros Año 2020/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2020;Jul - Sep;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;175854951
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros Año 2020/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2020;Jul - Sep;Asignaciones testamentarias;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros Año 2020/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2020;Jul - Sep;Cotizaciones;Pesos;27323061
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros Año 2020/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2020;Jul - Sep;Donaciones;Pesos;2123460
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros Año 2020/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2020;Jul - Sep;Frutos y productos de los Bienes Patrimoniales;Pesos;330000
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros Año 2020/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2020;Jul - Sep;Otras Transferencias privadas;Pesos;0
