"codigoViaje","destino","pasivo","codigoPasivo","organismo","IdOrPortal","cargo","fechaInicio","fechaTermino","descripcion","costo","financistas"
"mu2821581552","Pucon, Chile","LUCRECIA ADRIANA FLORES RODRIGUEZ","MU28214055","MUNICIPALIDAD DE SAN CARLOS","mu282","Concejal(a)",2015-02-16,2015-02-21,"Todos remando en la misma Dirección - ",873900,"   Municipalidad de San Carlos - "
"mu2821581562","Las Ovejas Argentina","LUCRECIA ADRIANA FLORES RODRIGUEZ","MU28214055","MUNICIPALIDAD DE SAN CARLOS","mu282","Concejal(a)",2015-03-12,2015-03-15,"Encuentro Binacional Pro apertura Paso Fronterizo San Fiaban de Alico Chile Argentina , en la Comuna de las Ovejas Argentina - ",531818,"   Municipalidad de San Carlos - "
"mu2821582412","Concepción, Chile","ROBERTO EDUARDO TAPIA PINELA","MU28214071","MUNICIPALIDAD DE SAN CARLOS","mu282","Concejal(a)",2015-01-21,2015-01-25,"Curso: Nuevo rol del concejal, presidencia de comisiones y notable abandono de deberes, análisis ley 20.742 - ",714196,"   Municipalidad de San Carlos - "
"mu2821582452","Calbuco","CESAR ERNESTO ORTIZ GALLEGOS","MU28214036","MUNICIPALIDAD DE SAN CARLOS","mu282","Concejal(a)",2015-01-13,2015-01-18,"""II Taller internacional de turismo. planificación urbana y medio ambiente"" - ",817602,"   Municipalidad de San Carlos - "
"mu2821582482","Pucón","CESAR ERNESTO ORTIZ GALLEGOS","MU28214036","MUNICIPALIDAD DE SAN CARLOS","mu282","Concejal(a)",2015-01-16,2015-01-21,"Todos remando en la misma dirección - ",840900,"   Municipalidad de San Carlos - "
"mu2821582502","Viña del Mar","CESAR ERNESTO ORTIZ GALLEGOS","MU28214036","MUNICIPALIDAD DE SAN CARLOS","mu282","Concejal(a)",2015-02-23,2015-02-28,"Experto en gestión comunal - ",889758,"   Municipalidad de San Carlos - "
"am0092753122","Chillán, Chile","Saúl Ríos Arriagada","AM0092734","DIRECCIÓN DE PLANEAMIENTO DEL MINISTERIO DE OBRAS PÚBLICAS","am009","Director Regional de Planeamiento Región del Biobío",2015-01-14,2015-01-14,"Reunión de Plan de Inversiones en Aeropuertos - ",20231,"   MInisterio de Obras Públicas - "
"am0092753192","Lebu, Chile","Saúl Ríos Arriagada","AM0092734","DIRECCIÓN DE PLANEAMIENTO DEL MINISTERIO DE OBRAS PÚBLICAS","am009","Director Regional de Planeamiento Región del Biobío",2015-03-12,2015-03-12,"Presentación sobre Convenio de Agua Potable Rural en la Provincia de Arauco - ",20231,"   Ministerio de Obras Públicas - "
"am0092753232","Lebu, Chile","Saúl Ríos Arriagada","AM0092734","DIRECCIÓN DE PLANEAMIENTO DEL MINISTERIO DE OBRAS PÚBLICAS","am009","Director Regional de Planeamiento Región del Biobío",2015-03-25,2015-03-25,"Presentación ARI 2016 en la Provincia de Arauco - ",20231,"   Ministerio de Obras Públicas - "
"am0092753302","Chillán, Chile","Saúl Ríos Arriagada","AM0092734","DIRECCIÓN DE PLANEAMIENTO DEL MINISTERIO DE OBRAS PÚBLICAS","am009","Director Regional de Planeamiento Región del Biobío",2015-03-31,2015-03-31,"Presentación ARI 2016 en la Provincia de Ñuble - ",20231,"   Ministerio de Obras Públicas - "
"mu3144020542","Viña del Mar, Chile","Irma Lopez Ossandon","MU31481826","MUNICIPALIDAD DE TALTAL","mu314","Concejala, Irma Lopez",2015-03-18,2015-03-20,"Participación III encuentro Mujeres Lideres de Gobiernos Locales - ",481965,"   Ilustre Municipalidad Taltal - "
"mu3144020882","Viña del Mar, Chile","María Guerrero Sanchez","MU314294398","MUNICIPALIDAD DE TALTAL","mu314","Concejal(a)",2015-03-18,2015-03-20,"Participación III Congreso Mujeres Lideres de Gobiernos Locales - ",481965,"   Ilustre Municipalidad Taltal - "
"mu0893206332","PUERTO NATALES","Miguel  Abdo Ara","MU08913024","MUNICIPALIDAD DE ESTACIÓN CENTRAL","mu089","Concejal(a)",2015-01-26,2015-01-30,"CURSOS DE VERANO ASCHM - ",337497," MIGUEL ANGEL ABDO ARA   - "
"ad0225082","Viña del Mar - Valparaíso.","Jorge Alfonso Burgos Varela","AD02260","SUBSECRETARIA PARA LAS FUERZAS ARMADAS","ad022","Ministro(a)",2015-03-11,2015-03-11,"Participación en reunión de Justicia Militar en el Hotel Coracero. Asiste a cambio de mando de Presidencia del H. Senado de la República. - ",0,"   Subsecretaría para las Fuerzas Armadas - "
